reg;ANO4;TRIMESTRE;CBA;CBT;REGION
Cuyo;2017;1;1635.08;4218.616667;42
Cuyo;2017;2;1731.186667;4512.686667;42
Cuyo;2017;3;1801.53;4689.87;42
Cuyo;2017;4;1893.923333;4975.423333;42
Cuyo;2018;1;2012.546667;5373.776667;42
Cuyo;2018;2;2157.92;5795.536667;42
Cuyo;2018;3;2466.96;6537.663333;42
Cuyo;2018;4;2899.133333;7692.513333;42
Cuyo;2019;1;3196.643333;8448.32;42
Cuyo;2019;2;3472.486667;9272.146667;42
Cuyo;2019;3;3831.786667;10179.85333;42
Cuyo;2019;4;4323.536667;11499.71667;42
Cuyo;2020;1;4860.63;12571.92;42
Cuyo;2020;2;5133.556667;13159.15333;42
GBA;2017;1;1828.91;4432.323333;1
GBA;2017;2;1936.376667;4744.123333;1
GBA;2017;3;2018.67;4932.17;1
GBA;2017;4;2118.453333;5219.2;1
GBA;2018;1;2251.016667;5650.376667;1
GBA;2018;2;2421.403333;6115.796667;1
GBA;2018;3;2753.576667;6856.653333;1
GBA;2018;4;3242.27;8084.253333;1
GBA;2019;1;3595.936667;8928.186667;1
GBA;2019;2;3920.316667;9814.443333;1
GBA;2019;3;4309.17;10758.62333;1
GBA;2019;4;4841.983333;12103.99333;1
GBA;2020;1;5460.4;13285.60333;1
GBA;2020;2;5803.82;13968.18333;1
NEA;2017;1;1627.856667;3695.333333;41
NEA;2017;2;1727.416667;3961.596667;41
NEA;2017;3;1793.25;4106.426667;41
NEA;2017;4;1888.466667;4362.943333;41
NEA;2018;1;2008.523333;4720.326667;41
NEA;2018;2;2157.013333;5096.033333;41
NEA;2018;3;2461.606667;5735.76;41
NEA;2018;4;2886.343333;6734.933333;41
NEA;2019;1;3188.493333;7417.523333;41
NEA;2019;2;3471.27;8146.196667;41
NEA;2019;3;3852.993333;9003.213333;41
NEA;2019;4;4349.903333;10177.85667;41
NEA;2020;1;4892.806667;11138.34;41
NEA;2020;2;5170.19;11650.32667;41
NOA;2017;1;1578.593333;3551.933333;40
NOA;2017;2;1680.613333;3820.656667;40
NOA;2017;3;1752.61;3978.3;40
NOA;2017;4;1845.243333;4226.113333;40
NOA;2018;1;1960.363333;4567.943333;40
NOA;2018;2;2096.076667;4910.16;40
NOA;2018;3;2403.753333;5552.903333;40
NOA;2018;4;2812.15;6505.576667;40
NOA;2019;1;3112.083333;7177.49;40
NOA;2019;2;3396.72;7892.243333;40
NOA;2019;3;3751.756667;8691.626667;40
NOA;2019;4;4233.953333;9821.87;40
NOA;2020;1;4742.056667;10700.34667;40
NOA;2020;2;5042.72;11262.28;40
Pampeana;2017;1;1816.996667;4403.456667;43
Pampeana;2017;2;1921.313333;4700.88;43
Pampeana;2017;3;2003.653333;4895.466667;43
Pampeana;2017;4;2109.906667;5198.14;43
Pampeana;2018;1;2240.186667;5623.16;43
Pampeana;2018;2;2394.253333;6047.266667;43
Pampeana;2018;3;2730.586667;6799.416667;43
Pampeana;2018;4;3212.486667;8009.99;43
Pampeana;2019;1;3560.386667;8839.956667;43
Pampeana;2019;2;3867.103333;9681.233333;43
Pampeana;2019;3;4256.203333;10626.38667;43
Pampeana;2019;4;4803.073333;11990.51667;43
Pampeana;2020;1;5417.253333;13180.48;43
Pampeana;2020;2;5727.343333;13784.08667;43
Patagonia;2017;1;1890.226667;5198.236667;44
Patagonia;2017;2;1994.246667;5550.71;44
Patagonia;2017;3;2070.333333;5741.603333;44
Patagonia;2017;4;2183.866667;6108.55;44
Patagonia;2018;1;2327.43;6625.94;44
Patagonia;2018;2;2494.246667;7147.776667;44
Patagonia;2018;3;2836.203333;8017.666;44
Patagonia;2018;4;3341.05;9444.386667;44
Patagonia;2019;1;3688.923333;10413.40667;44
Patagonia;2019;2;4004.81;11374.38;44
Patagonia;2019;3;4461.783333;12656.66;44
Patagonia;2019;4;5037.27;14287.89;44
Patagonia;2020;1;5672.95;15655.72333;44
Patagonia;2020;2;5974.183333;16349.52;44
