"","unique.corrientes.NOMBRE."
"1","ITATI"
"2","SAN COSME"
"3","PASO DE LA PATRIA"
"4","RAMADA PASO"
"5","BERON DE ASTRADA"
"6","SAN LUIS DEL PALMAR"
"7","ITA-IBATE"
"8","SAN CARLOS"
"9","LORETO"
"10","CAA CATI"
"11","HERLITZKA"
"12","LOMAS DE VALLEJOS"
"13","COLONIA LIEBIGS"
"14","SAN MIGUEL"
"15","GDOR.V.VIRASORO"
"16","MBURUCUYA"
"17","PALMAR GRANDE"
"18","SANTO TOME"
"19","GARRUCHOS"
"20","SANTA ROSA"
"21","SAN LORENZO"
"22","GARAVI"
"23","CONCEPCION DEL YAGUARETE CORA"
"24","TABAY"
"25","CARLOS PELLEGRINI"
"26","LA CRUZ"
"27","TATACUA"
"28","ALVEAR"
"29","MERCEDES"
"30","PEDRO R. FERNANDEZ"
"31","ESTACION TORRENT"
"32","CHAVARRIA"
"33","9 DE JULIO"
"34","CRUZ D.LOS MILAGROS"
"35","GOBERNADOR MARTINEZ"
"36","FELIPE YOFRE"
"37","PUERTO LAVALLE"
"38","YATAYTI CALLE"
"39","LAVALLE-SANTA LUCIA"
"40","PERUGORRIA"
"41","PASO DE LOS LIBRES"
"42","TAPEBICUA"
"43","MARIANO I. LOZA"
"44","CURUZU CUATIA"
"45","ESQUINA"
"46","SAUCE"
"47","PARADA PUCHETA"
"48","BONPLAND"
"49","COLONIA LIBERTAD"
"50","MONTE CASEROS"
"51","PUEBLO LIBERTADOR"
"52","JUAN PUJOL"
"53","MOCORETA"
"54","SANTA ANA"
"55","VILLA OLIVARI"
"56","YAPEYU"
"57","GUAVIRAVI"
"58","SAN ANTONIO-APIPE GRANDE"
"59","ITUZAINGO"
"60","CAROLINA"
"61","SALADAS"
"62","PAGO DE LOS DESEOS"
"63","TRES DE ABRIL"
"64","BELLA VISTA"
"65","SAN ISIDRO"
"66","GOYA"
"67","SAN ROQUE"
"68","COLONIA PANDO"
"69","CAPITAL"
"70","RIACHUELO"
"71","EL SOMBRERO"
"72","EMPEDRADO"
