Categoria;FACULTADES;CARRERAS;VARONES;MUJERES
EGRESADOS;ARQUITECTURA Y URBANISMO;ARQUITECTURA;29;27
EGRESADOS;ARQUITECTURA Y URBANISMO;DISEÑO GRAFICO;3;5
EGRESADOS;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;LIC. EN ARTES: ARTES ESCÉNICAS - Ciclo de Licenciatura;0;0
EGRESADOS;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;LIC. EN ARTES: ARTES MUSICALES - Ciclo de Licenciatura;1;0
EGRESADOS;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;LIC. EN ARTES: ARTES VISUALES - Ciclo de Licenciatura;0;0
EGRESADOS;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;LIC. EN ARTES COMBINADAS;0;1
EGRESADOS;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;LIC. EN GESTIÓN Y DESARROLLO CULTURAL;1;0
EGRESADOS;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;TECNICATURA EN TURISMO;3;7
EGRESADOS;CIENCIAS AGRARIAS;INGENIERIA AGRONOMICA;19;4
EGRESADOS;CIENCIAS ECONOMICAS;CONTADOR PÚBLICO;16;26
EGRESADOS;CIENCIAS ECONOMICAS;LICENCIATURA EN ADMINISTRACIÓN;11;6
EGRESADOS;CIENCIAS ECONOMICAS;LICENCIATURA EN ECONOMÍA;2;2
EGRESADOS;CIENCIAS ECONOMICAS;TAGIU ;0;0
EGRESADOS;CIENCIAS ECONOMICAS;LICENCIADO EN COMERCIO EXTERIOR;0;0
EGRESADOS;CIENCIAS ECONOMICAS;PERITO EN COMERCIO EXTERIOR;0;0
EGRESADOS;CIENCIAS ECONOMICAS;ANALISTA EN RELACIONES LABORALES;4;5
EGRESADOS;CIENCIAS ECONOMICAS;LICENCIADO EN RELACIONES LABORALES;19;52
EGRESADOS;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;AGRIMENSOR;3;3
EGRESADOS;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;ANALISTA PROGRAMADOR UNIVERSITARIO;1;5
EGRESADOS;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;BIOQUÍMICO;2;9
EGRESADOS;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;GUARDAPARQUE UNIVERSITARIO;0;1
EGRESADOS;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;INGENIERO AGRIMENSOR;0;0
EGRESADOS;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;INGENIERO ELECTRICISTA;2;0
