Categoria;FACULTADES;SEDE;LUGAR SEDE;PROVINCIA;CARRERAS;VARONES;MUJERES
ESTUDIANTE;ARQUITECTURA Y URBANISMO;SEDE CENTRAL;RESISTENCIA;CHACO;ARQUITECTURA;1568;1576
ESTUDIANTE;ARQUITECTURA Y URBANISMO;SEDE CENTRAL;RESISTENCIA;CHACO;DISEÑO GRAFICO;353;503
ESTUDIANTE;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;RESISTENCIA;CHACO;LIC. EN ARTES: ARTES ESCÉNICAS - Ciclo de Licenciatura;0;0
ESTUDIANTE;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;RESISTENCIA;CHACO;LIC. EN ARTES: ARTES MUSICALES - Ciclo de Licenciatura;1;0
ESTUDIANTE;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;RESISTENCIA;CHACO;LIC. EN ARTES: ARTES VISUALES - Ciclo de Licenciatura;0;0
ESTUDIANTE;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;RESISTENCIA;CHACO;LIC. EN ARTES COMBINADAS;81;229
ESTUDIANTE;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;RESISTENCIA;CHACO;LIC. EN GESTIÓN Y DESARROLLO CULTURAL;36;86
ESTUDIANTE;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;RESISTENCIA;CHACO;TEC. EN DISEÑO DE IMAGEN, SONIDO Y MULTIMEDIA;253;148
ESTUDIANTE;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CORRIENTES;CORRIENTES;CORRIENTES;TECNICATURA EN TURISMO;213;385
ESTUDIANTE;CIENCIAS AGRARIAS;SEDE CENTRAL;CORRIENTES;CORRIENTES;INGENIERIA AGRONOMICA;1056;551
ESTUDIANTE;CIENCIAS AGRARIAS;SEDE CENTRAL;CORRIENTES;CORRIENTES;INGENIERIA INDUSTRIAL;118;56
ESTUDIANTE;CIENCIAS AGRARIAS;EXTENSIONES AULICAS;SANTO TOMÉ;CORRIENTES;INGENIERIA AGRONOMICA;0;0
ESTUDIANTE;CIENCIAS ECONOMICAS;SEDE CENTRAL;RESISTENCIA;CHACO;CBC - CICLO BASICO COMUN;1081;1080
ESTUDIANTE;CIENCIAS ECONOMICAS;SEDE CENTRAL;RESISTENCIA;CHACO;CONTADOR PÚBLICO;1240;1615
ESTUDIANTE;CIENCIAS ECONOMICAS;SEDE CENTRAL;RESISTENCIA;CHACO;LICENCIATURA EN ADMINISTRACIÓN;309;292
ESTUDIANTE;CIENCIAS ECONOMICAS;SEDE CENTRAL;RESISTENCIA;CHACO;LICENCIATURA EN ECONOMÍA;150;90
ESTUDIANTE;CIENCIAS ECONOMICAS;SEDE CENTRAL;RESISTENCIA;CHACO;TAGIU ;1;7
ESTUDIANTE;CIENCIAS ECONOMICAS;EXTENSIONES AULICAS;;;CBC - CICLO BASICO COMUN;52;43
ESTUDIANTE;CIENCIAS ECONOMICAS;EXTENSIONES AULICAS;;;CONTADOR PUBLICO;27;58
ESTUDIANTE;CIENCIAS ECONOMICAS;EXTENSIONES AULICAS;;;LICENCIATURA EN ADMINISTRACION;0;0
ESTUDIANTE;CIENCIAS ECONOMICAS;SEDE PASO DE LOS LIBRES;PASO DE LOS LIBRES;CORRIENTES;LICENC. EN COMERCIO EXTERIOR;0;0
ESTUDIANTE;CIENCIAS ECONOMICAS;SEDE CORRIENTES;CORRIENTES;CORRIENTES;LICENCIATURA EN RELACIONES LABORALES;241;622
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;AGRIMENSURA;14;11
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;BIOQUIMICA;226;620
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;GUARDAPARQUES;5;3
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;INGENIERIA ELECTRICA;312;26
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;INGENIERIA EN AGRIMENSURA;149;62
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;INGENIERIA EN ELECTRONICA;517;42
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;LICENCIATURA EN CIENCIAS BIOLOGICAS;196;423
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;LICENCIATURA EN CIENCIAS FISICAS;65;32
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;LICENCIATURA EN CIENCIAS QUIMICAS;73;118
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;LICENCIATURA EN MATEMATICA;58;104
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;LICENCIATURA EN SISTEMAS DE INFORMACION;871;267
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;PROFESORADO EN BIOLOGIA;168;430
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;PROFESORADO EN CIENCIAS QUIMICAS Y DEL AMBIENTE;124;337
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;PROFESORADO EN FISICA;46;34
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;;;PROFESORADO EN MATEMATICA;99;188
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;EXTENSION AULICA BELLA VISTA;;;LICENCIATURA EN SISTEMAS DE INFORMACION;2;6
ESTUDIANTE;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;EXTENSION AULICA FORMOSA;;;AGRIMENSURA;4;1
ESTUDIANTE;CS. VETERINARIAS;SEDE CENTRAL;;;MEDICINA VETERINARIA;1140;1373
ESTUDIANTE;CS. VETERINARIAS;SEDE CURUZU CUATIA;;;TEC. EN ADMINISTRACION DE EMPRESAS;124;126
ESTUDIANTE;CS. VETERINARIAS;SEDE CURUZU CUATIA;;;TEC. EN ADM. DE EMPRESAS c/orientac. COMERCIAL Y DE SERVICIOS;25;34
ESTUDIANTE;CS. VETERINARIAS;SEDE CURUZU CUATIA;;;TEC. EN ADM. DE EMPRESAS c/orientac. EN AGROPECUARIA Y AGROINDUSTRIAL;34;16
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;SEDE CENTRAL;;;ABOGACIA;3520;4331
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;SEDE CENTRAL;;;ABOGACIA  - CICLO DE COMPLEM. CURR.;0;0
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;SEDE CENTRAL;;;ESCRIBANO PUBLICO NACIONAL;155;360
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;SEDE CENTRAL;;;ESCRIBANO PUBLICO NACIONAL - CICLO DE COMPLEM. CURR.;5;17
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;SEDE CENTRAL;;;MARTILLERO PUBLICO Y CORR. DE COMERCIO;169;107
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;SEDE CENTRAL;;;PROCURACION;4;1
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;EXTENSIONES AULICAS;;;ABOGACIA;1557;1906
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;EXTENSIONES AULICAS;;;ABOGACIA  - CICLO DE COMPLEM. CURR.;4;18
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;EXTENSIONES AULICAS;;;ESCRIBANO PUBLICO NACIONAL;39;90
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;EXTENSIONES AULICAS;;;ESCRIBANO PUBLICO NACIONAL - CICLO DE COMPLEM. CURR.;94;111
ESTUDIANTE;DERECHO Y CS. SOCIALES Y POLITICAS;EXTENSIONES AULICAS;;;MARTILLERO PUBLICO Y CORR. DE COMERCIO;151;138
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;ARCHIVISTA Y LICENCIADO EN CS. DE LA INFORMACION;28;87
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;BIBLIOTECARIO Y LICENCIADO EN CS. DE LA INFORMACION;55;166
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIADO EN CIENCIAS DE LA EDUCACION;60;202
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIADO EN EDUCACION INICIAL;3;175
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIADO EN FILOSOFIA;69;55
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIADO EN GEOGRAFIA;35;33
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIADO EN HISTORIA;63;65
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIADO EN LETRAS;52;178
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN CIENCIAS DE LA EDUCACION;90;329
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN EDUCACION PRE-ELEMENTAL;0;0
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN EDUCACION INICIAL;7;843
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN FILOSOFIA;54;55
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN GEOGRAFIA;72;86
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN HISTORIA;210;176
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN LETRAS;76;277
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LIC. EN CS. DE LA EDUCACION;0;0
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;BIBLIOTECARIO Y LICENCIADO EN CS. DE LA INFORMACION;1;5
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LIC. EN EDUC. GRAL Y B., 1º y 2º CICLOS;0;0
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENC. EN EDUCACIÓN INICIAL;0;2
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENC. EN GEOGRAFIA;0;0
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIATURA EN HISTORIA;74;104
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;LICENCIATURA EN LETRAS;42;248
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN CS. ECONOMICAS;0;0
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR EN CS. JURÍDICAS;0;0
ESTUDIANTE;HUMANIDADES;SEDE CENTRAL;;;PROFESOR UNIVERSITARIO;46;76
ESTUDIANTE;HUMANIDADES;EXTENSIONES AULICAS;;;PROFESORADO EN CS. DE LA EDUCACION;4;38
ESTUDIANTE;HUMANIDADES;SEDE CORRIENTES;;;LICENCIATURA EN COMUNICACIÓN SOCIAL;265;328
ESTUDIANTE;HUMANIDADES;SEDE CORRIENTES;;;LICENCIATURA EN EDUCACIÓN INICIAL - CICLO DE LICENCIATURA;0;0
ESTUDIANTE;HUMANIDADES;SEDE CORRIENTES;;;LICENCIATURA EN HISTORIA - CICLO DE LICENCIATURA;0;0
