NOMBRE;Departamento
ITATI;Itatí
SAN COSME;San Cosme
PASO DE LA PATRIA;Paso de la Patria
RAMADA PASO;
BERON DE ASTRADA;Beron De Astrada
SAN LUIS DEL PALMAR;San Luis Del Palmar
ITA-IBATE;Ita Ibaté
SAN CARLOS;San Carlos
LORETO;Loreto
CAA CATI;Caá Catí
HERLITZKA;
LOMAS DE VALLEJOS;
COLONIA LIEBIGS;Colonia Liebig
SAN MIGUEL;San Miguel
GDOR.V.VIRASORO;Virasoro
MBURUCUYA;Mburucuyá
PALMAR GRANDE;
SANTO TOME;Santo Tomé
GARRUCHOS;
SANTA ROSA;Santa Rosa
SAN LORENZO;
GARAVI;
CONCEPCION DEL YAGUARETE CORA;Concepción
TABAY;
CARLOS PELLEGRINI;
LA CRUZ;La Cruz
TATACUA;
ALVEAR;
MERCEDES;Mercedes
PEDRO R. FERNANDEZ;
ESTACION TORRENT;
CHAVARRIA;
9 DE JULIO;
CRUZ D.LOS MILAGROS;
GOBERNADOR MARTINEZ;Gobernador Martinez
FELIPE YOFRE;
PUERTO LAVALLE;
YATAYTI CALLE;
LAVALLE-SANTA LUCIA;Santa Lucía
PERUGORRIA;Perugorria
PASO DE LOS LIBRES;Paso de los Libres
TAPEBICUA;
MARIANO I. LOZA;
CURUZU CUATIA;Curuzú Cuatía
ESQUINA;Esquina
SAUCE;Sauce
PARADA PUCHETA;
BONPLAND;
COLONIA LIBERTAD;
MONTE CASEROS;Monte Caseros
PUEBLO LIBERTADOR;
JUAN PUJOL;
MOCORETA;Mocoretá
SANTA ANA;
VILLA OLIVARI;
YAPEYU;Yapeyú
GUAVIRAVI;
SAN ANTONIO-APIPE GRANDE;
ITUZAINGO;Ituzaingó
CAROLINA;
SALADAS;Saladas
PAGO DE LOS DESEOS;
TRES DE ABRIL;
BELLA VISTA;
SAN ISIDRO;
GOYA;Goya
SAN ROQUE;San Roque
COLONIA PANDO;
CAPITAL;Corrientes
RIACHUELO;
EL SOMBRERO;
EMPEDRADO;Empedrado
