Categoria;FACULTADES;SEDE;CARRERAS;VARONES;MUJERES;;;;
NUEVOS INSCRIPTOS ;ARQUITECTURA Y URBANISMO;SEDE CENTRAL;ARQUITECTURA;280;276;;;;
NUEVOS INSCRIPTOS ;ARQUITECTURA Y URBANISMO;SEDE CENTRAL;DISEÑO GRAFICO;117;175;;;;
NUEVOS INSCRIPTOS ;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;LICENCIATURA EN ARTES COMBINADAS;36;77;;;;
NUEVOS INSCRIPTOS ;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;LIC. EN GESTION Y DESARROLLO CULTURAL;13;21;;;;
NUEVOS INSCRIPTOS ;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CENTRAL;TÉC. EN DISEÑO DE IMAGEN, SONIDO Y MULTIMEDIA;123;76;;;;
NUEVOS INSCRIPTOS ;ARTES, DISEÑO Y CIENCIAS DE LA CULTURA;SEDE CORRIENTES;LICENCIATURA EN TURISMO;90;196;;;;
NUEVOS INSCRIPTOS ;CIENCIAS AGRARIAS;SEDE CENTRAL;INGENIERIA AGRONOMICA;161;67;;;;
NUEVOS INSCRIPTOS ;CIENCIAS AGRARIAS;SEDE CENTRAL;INGENIERIA INDUSTRIAL;71;34;;;;
NUEVOS INSCRIPTOS ;CIENCIAS AGRARIAS;EXTENSIONES AULICAS;INGENIERIA AGRONOMICA;0;0;;;;
NUEVOS INSCRIPTOS ;CIENCIAS ECONOMICAS;SEDE CENTRAL;CBC - CICLO BASICO COMUN;466;365;;;;
NUEVOS INSCRIPTOS ;CIENCIAS ECONOMICAS;SEDE CENTRAL;TAGIU;0;0;;;;
NUEVOS INSCRIPTOS ;CIENCIAS ECONOMICAS;SEDE CORRIENTES;LICENCIATURA EN RELACIONES LABORALES;75;123;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;BIOQUIMICA;49;122;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;GUARDAPARQUES;0;0;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;INGENIERIA ELECTRICA;90;7;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;INGENIERIA EN AGRIMENSURA;33;24;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;INGENIERIA EN ELECTRONICA;112;14;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;LICENCIATURA EN CIENCIAS BIOLOGICAS;47;81;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;LICENCIATURA EN CIENCIAS FISICAS;40;11;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;LICENCIATURA EN CIENCIAS QUIMICAS;8;16;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;LICENCIATURA EN MATEMATICA;20;20;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;LICENCIATURA EN SISTEMAS DE INFORMACION;262;66;;;;
NUEVOS INSCRIPTOS ;CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA;SEDE CENTRAL;PROFESORADO EN BIOLOGIA;53;86;;;;
