Departamento;Poblacion
Beron De Astrada;2461
Caá Catí;7677
Colonia Liebig;3900
Concepción;5316
Corrientes;352374
Curuzú Cuatía;39319
Empedrado;15109
Esquina;27240
Gobernador Martinez;3699
Goya;88300
Ita Ibaté;4266
Itatí;7777
Ituzaingó;20891
La Cruz;9050
Loreto;3012
Mburucuyá;9252
Mercedes;36918
Mocoretá;7334
Monte Caseros;25656
Paso de la Patria;6383
Paso de los Libres;45805
Perugorria;5065
Saladas;18812
San Carlos;3316
San Cosme;4750
San Luis Del Palmar;17159
San Miguel;7560
San Roque;9449
Santa Lucía;15697
Santa Rosa;10437
Santo Tomé;25824
Sauce;9032
Virasoro;32983
Yapeyú;2114
