;unique(depen);Departamento
1;JUZGADO DE PAZ PASO DE LA PATRIA;Paso de la Patria
2;JUZGADO DE PAZ SAUCE;Sauce
3;JUZGADO DE PAZ SAN MIGUEL;San Miguel
4;JUZGADO DE PAZ YAPEYU;Yapeyú
5;JUZGADO DE PAZ ITATI;Itatí
6;JUZGADO DE PAZ SANTA LUCIA;Santa Lucía
7;JUZGADO DE PAZ LA CRUZ;La Cruz
8;JUZGADO DE PAZ MBURUCUYA;Mburucuyá
9;CIVIL Y COMERCIAL SALADAS;Saladas
10;FAMILIA PASO DE LOS LIBRES;Paso de los Libres
11;FAMILIA Y MENORES CURUZÚ CUATÍA;Curuzú Cuatía
12;FAMILIA N° 2;Corrientes 
13;JUZGADO DE PAZ MOCORETA;Mocoretá
14;JUZGADO DE PAZ SAN COSME;San Cosme
15;JUZGADO DE PAZ CONCEPCIÓN;Concepción
16;CIV. COM. LAB. FLIA Y PAZ DE  EMPEDRADO;Empedrado
17;INSTRUCCIÓN Y CORRECCIONAL ESQUINA;Esquina
18;INSTRUCCIÓN Y CORRECCIONAL N° 3 GOYA;Goya
19;CIVIL, COM, LAB, FLIA ITUZAINGO;Ituzaingó
20;INSTRUCCIÓN Y CORRECCIONAL N° 1 PASO DE LOS LIBRES;Paso de los Libres
21;JUZGADO DE PAZ SAN CARLOS;San Carlos
22;JUZGADO DE PAZ PERUGORRIA;Perugorria
23;INSTRUCCIÓN Y CORRECCIONAL CURUZÚ;Curuzú Cuatía
24;JUZGADO DE PAZ GOBERNADOR MARTINEZ;Gobernador Martinez
25;FAMILIA N° 3;Corrientes 
26;CIVIL, COM,LAB, FLIA DE VIRASORO;Virasoro
27;INSTRUCCIÓN N° 2 GOYA;Goya
28;FAMILIA DE GOYA;Goya
29;FAMILIA DE MERCEDES;Mercedes
30;CIVIL, COMERC, LABORAL, FLIA Y MENORES SAN ROQUE;San Roque
31;FAMILIA N° 1;Corrientes 
32;CORRECCIONAL N° 1;Corrientes 
33;INSTRUCCIÓN Y CORRECCIONAL N° 2 PASO DE LOS LIBRES;Paso de los Libres
34;INSTRUCCIÓN Y CORRECCIONAL SANTO TOMÉ;Santo Tomé
35;CORRECCIONAL Nº 2;Corrientes 
36;CIVIL, COM Y FLIA. M. CASEROS;Monte Caseros
37;JUZGADO DE PAZ ITA IBATÉ;Ita Ibaté
38;JUZGADO DE PAZ SAN LUIS DEL PALMAR;San Luis Del Palmar
39;JUZGADO DE PAZ BERON DE ASTRADA;Beron De Astrada
40;CIVIL, COMERC, LABORAL, FLIA, MENORES Y PAZ SANTA ROSA;Santa Rosa
41;CIVIL, COM, LAB, FLIA, CONT ADM SANTO TOMÉ;Santo Tomé
42;INSTRUCCIÓN Y CORRECCIONAL  ITUZAINGÓ;Ituzaingó
43;JUZGADO DE PAZ DE LORETO;Loreto
44;JUZGADO DE PAZ CAÁ CATÍ;Caá Catí
45;CIVIL, COM. Y FLIA. M. CASEROS;Monte Caseros
46;CIVIL, COM, LAB, FLIA CONT ADM SANTO TOMÉ;Santo Tomé
47;CIV.COM.FLIA Y PAZ SAN ROQUE;San Roque
48;CIVIL, COM, LAB, FLIA VIRASORO;Virasoro
49;INSTRUCCIÓN N°1 - GOYA;Goya
49;CORRECCIONAL N° 2;Corrientes 
49;JUZGADO DE PAZ DE CAÁ CATÍ;Caá Catí
49;INSTRUCCIÓN Y CORRECCIONAL DE VIRASORO;Virasoro
49;JUZGADO DE PAZ DE SAUCE;Sauce
49;JUZGADO DE PAZ COLONIA LIEBIG;Colonia Liebig
49;CIVIL, COM, LAB,  FLIA ITUZAINGÓ;Ituzaingó
49;FAMILIA Nº 1;Corrientes 
49;FAMILIA Nº 3;Corrientes 
49;FAMILIA Nº 2;Corrientes 
