"","unique(depen)"
"1","JUZGADO DE PAZ PASO DE LA PATRIA"
"2","JUZGADO DE PAZ SAUCE"
"3","JUZGADO DE PAZ SAN MIGUEL"
"4","JUZGADO DE PAZ YAPEYU"
"5","JUZGADO DE PAZ ITATI"
"6","JUZGADO DE PAZ SANTA LUCIA"
"7","JUZGADO DE PAZ LA CRUZ"
"8","JUZGADO DE PAZ MBURUCUYA"
"9","CIVIL Y COMERCIAL SALADAS"
"10","FAMILIA PASO DE LOS LIBRES"
"11","FAMILIA Y MENORES CURUZÚ CUATÍA"
"12","FAMILIA N° 2"
"13","JUZGADO DE PAZ MOCORETA"
"14","JUZGADO DE PAZ SAN COSME"
"15","JUZGADO DE PAZ CONCEPCIÓN"
"16","CIV. COM. LAB. FLIA Y PAZ DE  EMPEDRADO"
"17","INSTRUCCIÓN Y CORRECCIONAL ESQUINA"
"18","INSTRUCCIÓN Y CORRECCIONAL N° 3 GOYA"
"19","CIVIL, COM, LAB, FLIA ITUZAINGO"
"20","INSTRUCCIÓN Y CORRECCIONAL N° 1 PASO DE LOS LIBRES"
"21","JUZGADO DE PAZ SAN CARLOS"
"22","JUZGADO DE PAZ PERUGORRIA"
"23","INSTRUCCIÓN Y CORRECCIONAL CURUZÚ"
"24","JUZGADO DE PAZ GOBERNADOR MARTINEZ"
"25","FAMILIA N° 3"
"26","CIVIL, COM,LAB, FLIA DE VIRASORO"
"27","INSTRUCCIÓN N° 2 GOYA"
"28","FAMILIA DE GOYA"
"29","FAMILIA DE MERCEDES"
"30","CIVIL, COMERC, LABORAL, FLIA Y MENORES SAN ROQUE"
"31","FAMILIA N° 1"
"32","CORRECCIONAL N° 1"
"33","INSTRUCCIÓN Y CORRECCIONAL N° 2 PASO DE LOS LIBRES"
"34","INSTRUCCIÓN Y CORRECCIONAL SANTO TOMÉ"
"35","CORRECCIONAL Nº 2"
"36","CIVIL, COM Y FLIA. M. CASEROS"
"37","JUZGADO DE PAZ ITA IBATÉ"
"38","JUZGADO DE PAZ SAN LUIS DEL PALMAR"
"39","JUZGADO DE PAZ BERON DE ASTRADA"
"40","CIVIL, COMERC, LABORAL, FLIA, MENORES Y PAZ SANTA ROSA"
"41","CIVIL, COM, LAB, FLIA, CONT ADM SANTO TOMÉ"
"42","INSTRUCCIÓN Y CORRECCIONAL  ITUZAINGÓ"
"43","JUZGADO DE PAZ DE LORETO"
"44","JUZGADO DE PAZ CAÁ CATÍ"
"45","CORRECCIONAL N° 2"
"46","CIVIL, COM. Y FLIA. M. CASEROS"
"47","CIVIL, COM, LAB, FLIA CONT ADM SANTO TOMÉ"
"48","CIV.COM.FLIA Y PAZ SAN ROQUE"
"49","CIVIL, COM, LAB, FLIA VIRASORO"
"50","INSTRUCCIÓN N°1 - GOYA"
"51","JUZGADO DE PAZ DE CAÁ CATÍ"
"52","INSTRUCCIÓN Y CORRECCIONAL DE VIRASORO"
"53","JUZGADO DE PAZ DE SAUCE"
"54","JUZGADO DE PAZ COLONIA LIEBIG"
"55","CIVIL, COM, LAB,  FLIA ITUZAINGÓ"
"56","FAMILIA Nº 1"
"57","FAMILIA Nº 3"
"58","FAMILIA Nº 2"
